Transaction ID,Date,Amount,Currency,Status,Subject
OVZYD0JAREC5PIEBF,2025-06-09T03:01:02+1400,1936.75,USD,P,Online order
O5YE3TYHCRKOB2T4J,2025-06-11T04:22:15+0300,-482.15,USD,F,Online order
EJOHGRWZRROM8PVKS,2025-06-10T17:11:03+1000,3476.59,USD,F,Subscription
PZJGC4GJ385Q2B4Y1,2025-06-09T13:30:07-0700,-401.26,USD,P,Client payment
Z79TAP7G9844VRXOV,2025-06-09T10:36:14+1000,1409.71,USD,F,Service fee
HHM4PVD6S11O6MJ74,2025-06-09T04:30:38+0000,708.72,USD,P,Client payment
TF5X5CGQVCQXUQI5A,2025-06-09T05:11:43+0300,4308.89,USD,P,Online order
C0H7S1VJCO0C1O3NX,2025-06-11T02:36:45-0800,1637.79,USD,P,Refund issued
PTB42ZCNV5OA1QE6O,2025-06-11T16:22:45-0300,3145.46,USD,F,Freelance payout
IL8H5JEFUT5X1QH1U,2025-06-11T03:17:26+0400,204.42,USD,S,Transfer received
UHL8SUDBOXDUUM8RX,2025-06-09T10:20:34-1200,-490.15,USD,P,Freelance payout
G457TOXI2LQUATFIV,2025-06-09T22:57:59+0100,3196.77,USD,F,Subscription
0GROQ0994IIQ85OAA,2025-06-10T21:11:45-0600,2340.02,USD,F,Client payment
Z8333K0XE7TWT4H3F,2025-06-09T13:16:08+0300,1654.85,USD,S,Initial balance
18T1OKRNH5YRHBBBU,2025-06-09T14:22:51+0300,2472.78,USD,P,Online order
7UO69WBWTT9K6C22Q,2025-06-11T17:16:17-1000,654.27,USD,S,Transfer received
Q68L0H34IV20NLEYK,2025-06-11T13:41:20-1200,1079.6,USD,P,Online order
LJI2WKCOVGG4RR6WZ,2025-06-09T19:10:59-1000,110.58,USD,S,Transfer received
R886ZFMC7U48F2A18,2025-06-10T07:49:06-0900,3498.6,USD,P,
LO1YI77QV3O5Z7WNZ,2025-06-10T04:10:49+0500,2495.31,USD,F,Online order
O8G24I83S3DJ5N68W,2025-06-09T15:36:15+0200,4370.12,USD,P,Online order
ARQR23WJ97LI9CD3T,2025-06-10T11:24:53+0600,1291.21,USD,F,Refund issued
03D5I2DWJBFJZZNZY,2025-06-10T09:24:08+0700,374.45,USD,P,Transfer received
HTI69T5EMFDBH0WVJ,2025-06-11T15:25:46-0800,3158.25,USD,S,Client payment
SWF4OWF74PYCIBFNP,2025-06-09T23:30:17-1200,2310.41,USD,F,
ZEQZ7JPFP5OOAJKGA,2025-06-10T19:15:12-1100,1021.87,USD,P,Subscription
941QAIUOAHMVUX02T,2025-06-10T02:21:46-0300,-227.55,USD,S,Transfer received
2T15Z4M6N0URCQVB3,2025-06-09T08:09:03+0900,-454.21,USD,S,Transfer received
VH0JI3ST29L7BVEYS,2025-06-11T07:17:07+1200,3540.33,USD,P,Subscription
VCFZZ07QGHT69F3O6,2025-06-09T18:17:10-0300,4025.2,USD,F,Refund issued
3D5DREW0VWCI1Y7BR,2025-06-09T06:54:37-0500,1016.28,USD,S,Refund issued
